task,repo,symbol,confidence,ast_hit,ast_file,ast_line_range,ast_relaxed_hit,ast_relaxed_file
add-log-parameter-node-format,celery,node_format,high,1,celery/utils/nodenames.py,83-86,1,celery/utils/nodenames.py
autoretry-to-retry,celery,add_autoretry_behaviour,high,1,celery/app/autoretry.py,8-66,1,celery/app/autoretry.py
combine-unpickle-task,celery,_unpickle_task,high,1,celery/app/registry.py,61-62,1,celery/app/registry.py
dump-message-to-serialization,celery,dump_message,high,1,celery/bin/amqp.py,14-19,1,celery/bin/amqp.py
evaluate-promises-to-serialization,celery,evaluate_promises,high,1,celery/utils/functional.py,67-71,1,celery/utils/functional.py
expand-router-string-to-utils,celery,expand_router_string,high,1,celery/app/routes.py,114-119,1,celery/app/routes.py
rename-host-format,celery,host_format,high,1,celery/utils/nodenames.py,99-114,1,celery/utils/nodenames.py
new-utils-adapt-method-mode,django,adapt_method_mode,high,0,,,1,django/core/handlers/base.py
new-utils-check-response,django,check_response,high,0,,,1,django/core/handlers/base.py
new-converter-to-python-class,django,typecast_date,high,1,django/db/backends/utils.py,214-217,1,django/db/backends/utils.py
new-utils-path-from-module,django,_path_from_module,high,0,,,1,django/apps/config.py
new-reference-context-field-class,django,field_references,high,1,django/db/migrations/utils.py,53-107,1,django/db/migrations/utils.py
split-parse-apps-and-model-labels,django,parse_apps_and_model_labels,high,1,django/core/management/utils.py,87-111,1,django/core/management/utils.py
new-timezone-class,django,from_current_timezone,high,1,django/forms/utils.py,213-234,1,django/forms/utils.py
add-log-parameter-generate-option-id-for-path,fastapi,generate_operation_id_for_path,high,1,fastapi/utils.py,167-179,1,fastapi/utils.py
get-auth-scheme-param,fastapi,get_authorization_scheme_param,high,1,fastapi/security/utils.py,4-10,1,fastapi/security/utils.py
value-is-a-sequence,fastapi,value_is_sequence,high,1,fastapi/_compat.py,540-541,1,fastapi/_compat.py
debughelpers-to-helpers.py,flask,attach_enctype_error_multidict,high,1,src/flask/debughelpers.py,81-104,1,src/flask/debughelpers.py
stream-template-str,flask,stream_template_string,high,1,src/flask/templating.py,207-219,1,src/flask/templating.py
add-log-parameter-get-encoding-from-headers,requests,get_encoding_from_headers,high,1,src/requests/utils.py,542-564,1,src/requests/utils.py
add-log-parameter-resolve-proxies,requests,resolve_proxies,high,1,src/requests/utils.py,867-891,1,src/requests/utils.py
add-log-parameter-select-proxy,requests,select_proxy,high,1,src/requests/utils.py,841-864,1,src/requests/utils.py
rename-super-len-complex-len,requests,super_len,high,1,src/requests/utils.py,136-204,1,src/requests/utils.py
genspider-functions-to-utils-url,scrapy,verify_url_scheme,high,1,scrapy/commands/genspider.py,35-40,1,scrapy/commands/genspider.py
new-spider-utils-in-spiders,scrapy,_identity,high,1,scrapy/spiders/crawl.py,50-51,1,scrapy/spiders/crawl.py
